term,course_id,title,catalog_url
FA26,BICD:130,"Embryos, Genes, and Development",https://catalog.ucsd.edu/courses/BIOL.html#bicd130
FA26,BICD:140,Immunology,https://catalog.ucsd.edu/courses/BIOL.html#bicd140
FA26,BICD:145,Laboratory in Molecular Medicine,https://catalog.ucsd.edu/courses/BIOL.html#bicd145
FA26,BICD:194,Advanced Topics in Modern Biology: Cellular Development,https://catalog.ucsd.edu/courses/BIOL.html#bicd194
FA26,BIEB:102,Introductory Ecology—Organisms and Habitat,https://catalog.ucsd.edu/courses/BIOL.html#bieb102
FA26,BIEB:121,Ecology Laboratory,https://catalog.ucsd.edu/courses/BIOL.html#bieb121
FA26,BIEB:146,Genome Diversity and Dynamics,https://catalog.ucsd.edu/courses/BIOL.html#bieb146
FA26,BIEB:150,Evolution,https://catalog.ucsd.edu/courses/BIOL.html#bieb150
FA26,BIEB:152,Evolution of Infectious Diseases,https://catalog.ucsd.edu/courses/BIOL.html#bieb152
FA26,BIEB:164,Behavioral Ecology and Conservation,https://catalog.ucsd.edu/courses/BIOL.html#bieb164
FA26,BILD:1,The Cell,https://catalog.ucsd.edu/courses/BIOL.html#bild1
FA26,BILD:2,Multicellular Life,https://catalog.ucsd.edu/courses/BIOL.html#bild2
FA26,BILD:3,Organismic and Evolutionary Biology,https://catalog.ucsd.edu/courses/BIOL.html#bild3
FA26,BILD:4,Introductory Biology Lab,https://catalog.ucsd.edu/courses/BIOL.html#bild4
FA26,BILD:5,Data Analysis and Design for Biologists,https://catalog.ucsd.edu/courses/BIOL.html#bild5
FA26,BILD:10,Fundamental Concepts of Modern Biology,https://catalog.ucsd.edu/courses/BIOL.html#bild10
FA26,BILD:62,Introduction to Python for Biologists,https://catalog.ucsd.edu/courses/BIOL.html#bild62
FA26,BILD:87,First-year Seminar,https://catalog.ucsd.edu/courses/BIOL.html#bild87
FA26,BILD:88,"Learning Sustainable Well-Being: Compassion for Self and Others, a Biologist’s Perspective",https://catalog.ucsd.edu/courses/BIOL.html#bild88
FA26,BIMM:100,Molecular Biology,https://catalog.ucsd.edu/courses/BIOL.html#bimm100
FA26,BIMM:101,Recombinant DNA Techniques,https://catalog.ucsd.edu/courses/BIOL.html#bimm101
FA26,BIMM:120,Microbiology,https://catalog.ucsd.edu/courses/BIOL.html#bimm120
FA26,BIMM:121,Microbiology Laboratory,https://catalog.ucsd.edu/courses/BIOL.html#bimm121
FA26,BIMM:122,Microbial Genetics,https://catalog.ucsd.edu/courses/BIOL.html#bimm122
FA26,BIMM:143,Bioinformatics Laboratory,https://catalog.ucsd.edu/courses/BIOL.html#bimm143
FA26,BIMM:143R,Bioinformatics Laboratory,https://catalog.ucsd.edu/courses/BIOL.html#bimm143r
FA26,BIOM:200A,Molecules to Organisms: Concepts,https://catalog.ucsd.edu/courses/BIOM.html#biom200a
FA26,BIOM:200B,Molecules to Organisms: Approaches,https://catalog.ucsd.edu/courses/BIOM.html#biom200b
FA26,BIOM:201,Seminars in Biomedical Research,https://catalog.ucsd.edu/courses/BIOM.html#biom201
FA26,BIOM:202,Biomedical Sciences Research Rotation,https://catalog.ucsd.edu/courses/BIOM.html#biom202
FA26,BIOM:218,Current Topics in Anthropogeny,https://catalog.ucsd.edu/courses/BIOM.html#biom218
FA26,BIOM:242,Seminar in Genetics,https://catalog.ucsd.edu/courses/BIOM.html#biom242
FA26,BIOM:296,Directed Reading,https://catalog.ucsd.edu/courses/BIOM.html#biom296
FA26,BIOM:298,Directed Study,https://catalog.ucsd.edu/courses/BIOM.html#biom298
FA26,BIPN:100,Human Physiology I,https://catalog.ucsd.edu/courses/BIOL.html#bipn100
FA26,BIPN:103,Human Anatomy with Lab,https://catalog.ucsd.edu/courses/BIOL.html#bipn103
FA26,BIPN:105,Human Physiology Lab,https://catalog.ucsd.edu/courses/BIOL.html#bipn105
FA26,BIPN:118,Neuropharmacology,https://catalog.ucsd.edu/courses/BIOL.html#bipn118
FA26,BIPN:140,Cellular Neurobiology,https://catalog.ucsd.edu/courses/BIOL.html#bipn140
FA26,BIPN:145,Neurobiology Laboratory,https://catalog.ucsd.edu/courses/BIOL.html#bipn145
FA26,BIPN:148,Cellular Basis of Learning and Memory,https://catalog.ucsd.edu/courses/BIOL.html#bipn148
FA26,BIPN:150,Diseases of the Nervous System,https://catalog.ucsd.edu/courses/BIOL.html#bipn150
FA26,BIPN:189,"Brain, Behavior, and Evolution",https://catalog.ucsd.edu/courses/BIOL.html#bipn189
FA26,BIPN:194,Advanced Topics in Modern Biology: Physiology and Neuroscience,https://catalog.ucsd.edu/courses/BIOL.html#bipn194
FA26,BISP:182,Cooperative Education and Analysis,https://catalog.ucsd.edu/courses/BIOL.html#bisp182
FA26,BISP:194,Advanced Topics in Modern Biology,https://catalog.ucsd.edu/courses/BIOL.html#bisp194
FA26,BISP:195P,Pedagogy and Learning Apprenticeship,https://catalog.ucsd.edu/courses/BIOL.html#bisp195p
FA26,BISP:199,Individual Research for Undergraduates,https://catalog.ucsd.edu/courses/BIOL.html#bisp199
FA26,BNFO:281,Seminar in Bioinformatics and Systems Biology,https://catalog.ucsd.edu/courses/BIOI.html#bnfo281
FA26,BNFO:283,Bioinformatics Student Research Talks,https://catalog.ucsd.edu/courses/BIOI.html#bnfo283
FA26,BNFO:294,Scientific Ethics,https://catalog.ucsd.edu/courses/BIOI.html#bnfo294
FA26,BNFO:298,Research Rotation,https://catalog.ucsd.edu/courses/BIOI.html#bnfo298
FA26,BNFO:299,Graduate Research,https://catalog.ucsd.edu/courses/BIOI.html#bnfo299
FA26,BNFO:500,Teaching Assistantship,https://catalog.ucsd.edu/courses/BIOI.html#bnfo500
FA26,CAT:1,"Culture, Art, and Technology 1",https://catalog.ucsd.edu/courses/CAT.html#cat1
FA26,CAT:90,Introduction to Experiential Learning Seminar,https://catalog.ucsd.edu/courses/CAT.html#cat90
FA26,CAT:124,Sixth College Practicum,https://catalog.ucsd.edu/courses/CAT.html#cat124
FA26,CAT:125,Public Rhetoric and Practical Communication,https://catalog.ucsd.edu/courses/CAT.html#cat125
FA26,CAT:125R,Public Rhetoric and Practical Communication Online,https://catalog.ucsd.edu/courses/CAT.html#cat125r
FA26,CCE:1,Critical Approaches in Community Practice,https://catalog.ucsd.edu/courses/CCE.html#cce1
FA26,CCE:2,Cultivating Community-Informed Practices,https://catalog.ucsd.edu/courses/CCE.html#cce2
FA26,CCE:3,Elements of Community-Engaged Collaborative Research,https://catalog.ucsd.edu/courses/CCE.html#cce3
FA26,CENG:4,Experience Chemical Engineering,https://catalog.ucsd.edu/courses/NANO.html#ceng4
FA26,CENG:15R,Engineering Computation Using MATLAB Online,https://catalog.ucsd.edu/courses/NANO.html#ceng15r
FA26,CENG:100,Material and Energy Balances,https://catalog.ucsd.edu/courses/NANO.html#ceng100
